pathway_41	HGNC_symbol	HGNC_mapping	%RVIS_ESP_0.1%	%RVIS_ExAC_0.01%	%RVIS_ExAC_0.05%popn	%RVIS_ExAC_0.1%popn	constraint_score	pLI	pRecessive	pNull	pHI	chrN:N-N
FKBP4	FKBP4	NA	57.15	37.73	73.7	55.36	1.677134413	0.882093172382625	0.117836715063064	7.01125543114618e-05	0.187569502061655	chr12:2904119-2914576
MARK4	MARK4	NA	8.75	9.45	7.23	10.37	3.367992534	0.999826886801614	0.000173113018537528	1.79847997937357e-10	0.139462612826665	chr19:45582453-45808541
PAFAH1B1	PAFAH1B1	NA	26.23	24.05	22.23	28.78	2.436648404	0.999237139452159	0.000762853876406655	6.67143461914805e-09	0.951668079727129	chr17:2496504-2588909
PKD1	PKD1	NA	NA	99.87	99.76	98.99	2.503869061	0.999997978463238	2.02153676207551e-06	4.8959624606241e-20	0.292536247632233	chr16:2138711-2185899
BRCA1	BRCA1	NA	78.6	20.81	20.1	73.43	-0.420634577	6.29039203055035e-20	0.0397374036139131	0.960262596386087	0.986984944750969	chr17:41196312-41277500
TACC3	TACC3	NA	60.76	23.59	25.53	37.11	0.085541541	0.201872207981446	0.797618905485473	0.000508886533081002	0.00156066727755653	chr4:1723227-1746898
STMN4	STMN4	NA	56.64	29.72	32.71	36.78	1.429497917	0.409016061405838	0.580697563705644	0.0102863748885173	0.202507137348786	chr8:27092840-27115937
PHLDB1	PHLDB1	NA	2.05	17.07	28.47	12.18	1.101358129	0.998468292973795	0.00153170701382989	1.23755592451576e-11	0.221111525492784	chr11:118477155-118528741
SPAST	SPAST	NA	48.54	20.28	33.71	18.72	1.379580705	0.998617519595669	0.00138247465434335	5.74998737691674e-09	0.665186921200833	chr2:32288680-32382706
PARP3	PARP3	NA	87.69	96.08	95.31	93.99	-0.338808897	3.10767516140312e-07	0.499263029599944	0.500736659632539	0.0282372670363472	chr3:51976361-51982883
EPHA3	EPHA3	NA	10.14	9.45	6.83	7.91	0.461469573	0.0206544956160874	0.979337992308861	7.51207505170316e-06	0.895700250054946	chr3:89156674-89531284
TPR	TPR	NA	23.05	0.78	1.2	1.13	3.139515719	0.999999999968266	3.17339689073263e-11	2.37437456445422e-30	0.644357008491404	chr1:186280784-186344825
RNF4	RNF4	NA	81.22	77.81	82.04	85.16	0.827467464	0.587590199864796	0.400206541913228	0.0122032582219766	0.125825160029984	chr4:2463947-2517584
